Designator,Footprint,Quantity,Value,LCSC Part #
BT1,CR2032PAC_ELECTRODRAGON,1,Battery_Cell,C19184089
C1,0603,1,10uF,C19702
"C2, C3",0603,2,0.47uF,C1623
"D1, D2",D_SOD-123,2,1N4148W,C7420318
ISP1,PinHeader_2x03_P2.54mm_Vertical,1,AVR-ISP-6VERT,
J1,AUDIO-JACK,1,AudioJack2_Ground,C16684
J3,PinHeader_1x01_P2.54mm_Vertical,1,CLKI,
"JP1, JP2",PinHeader_1x04_P1.00mm_Vertical,2,PINHD-1X04_2.54-S,
LED1,SEGMENT_BL-M12A883,1,SEGMENT_8X8_ROWCATHODEM12A881UR,
R1,0603,1,16,C217814
R2,0603,1,8.2K,C25981
R3,0603,1,6.8K,C23212
"R4, R5, R6",0603,3,10K,C25804
"S1, S2",B3F-10XX,2,B3F-1000,C393938
U2,TQFP-32_7x7mm_P0.8mm,1,ATtiny88-A,C111451
U3,SOIC-8_3.9x4.9mm_P1.27mm,1,EEPROM-I2CEIAJ,C79988
